1,6/16/2016,3545,395,0,0,3545,395,0,0,0,0,320,128,54892,12243,128,0,0
19,6/17/2016,287,11,287,11,0,0,0,0,0,0,2,1,n/a,267,0,0,0
12,6/18/2016,1321,60,0,0,1321,60,0,0,0,0,20,12,23677,3931,4,0,0
18,6/18/2016,453,207,0,0,453,207,0,0,0,0,2,n/a,0,439,3,0,0
19,6/19/2016,498,14,498,14,0,0,0,0,0,0,2,1,n/a,540,0,0,0
14,6/19/2016,2246,87,0,0,2246,87,0,0,0,0,22,n/a,0,5458,9,0,0
8,6/20/2016,1844,128,0,0,1844,128,0,0,0,0,82,44,n/a,11396,66,0,0
11,6/22/2016,368,75,0,0,368,75,0,0,0,0,28,21,n/a,7,0,0,0
16,6/22/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,6/19/2016,557,80,0,0,557,80,0,0,0,0,5,5,95,0,0,0,0
17,6/22/2016,1706,148,0,0,1706,148,0,0,0,0,149,57,n/a,16629,65,0,0
9,6/16/2016,622,72,0,0,622,72,0,0,0,0,5,5,n/a,0,0,0,0
14,6/16/2016,1077,26,0,0,1077,26,0,0,0,0,3,n/a,0,1212,5,0,0
10,6/16/2016,601,76,601,76,0,0,0,0,0,0,8,7,44,0,0,0,0
15,6/17/2016,757,9,757,9,0,0,0,0,0,0,1,1,n/a,915,0,0,0
15,6/21/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,6/18/2016,301,1,301,1,0,0,0,0,0,0,1,0,n/a,554,0,0,0
1,6/21/2016,2288,230,0,0,2288,230,0,0,0,0,382,154,52555,18783,326,0,0
8,6/21/2016,1622,152,0,0,1622,152,0,0,0,0,89,48,n/a,13835,17,0,0
14,6/21/2016,1360,101,0,0,1360,101,0,0,0,1,26,n/a,-1,6610,14,0,0
8,6/16/2016,2069,95,0,0,2069,95,0,0,0,0,45,36,n/a,5492,28,0,0
14,6/20/2016,2079,42,0,0,2079,42,0,0,0,0,23,n/a,0,4514,12,0,0
7,6/16/2016,834,69,0,0,834,69,0,0,0,0,18,10,1691,2,0,0,0
10,6/17/2016,536,77,536,77,0,0,0,0,0,0,7,5,66,0,0,0,0
16,6/16/2016,167,5,167,5,0,0,0,0,0,0,0,0,n/a,299,0,0,0
11,6/21/2016,789,114,0,0,789,114,0,0,0,0,32,22,n/a,0,0,0,0
17,6/20/2016,1948,144,0,0,1948,144,0,0,0,0,126,60,n/a,14335,100,0,0
15,6/16/2016,909,17,909,17,0,0,0,0,0,0,2,2,n/a,657,0,0,0
12,6/19/2016,1963,120,0,0,1963,120,0,0,0,0,34,20,24430,8430,0,0,0
8,6/22/2016,1884,145,0,0,1884,145,0,0,0,0,107,52,n/a,18976,42,0,0
